"lon","lat"
-122.6252431,45.5049376
-77.2828772,45.8982631
-77.2828772,45.8982631
-77.2828772,45.8982631
-77.2828772,45.8982631
-77.2828772,45.8982631
-77.2828772,45.8982631
-77.2828772,45.8982631
-73.3467167,42.2024768
-73.3467167,42.2024768
-73.3467167,42.2024768
-88.7878678,43.7844397
-88.7878678,43.7844397
133.775136,-25.274398
-113.4909267,53.544389
-95.7607832,29.5821811
-122.3320708,47.6062095
-102.5832426,22.7708555
-102.5832426,22.7708555
-102.5832426,22.7708555
-102.5832426,22.7708555
-106.346771,56.130366
-122.6252431,45.5049376
-102.2915677,21.8852562
-98.7623874,20.0910963
-98.7623874,20.0910963
-98.7623874,20.0910963
-87.6297982,41.8781136
-95.5577174,36.9490702
-95.712891,37.09024
-119.4179324,36.778261
-74.4056612,40.0583238
-73.3467167,42.2024768
-73.3467167,42.2024768
-102.5832426,22.7708555
-98.4842465,39.011902
-97.7430608,30.267153
-96.3864428,44.7656804
-84.3879824,33.7489954
-90.1994042,38.6270025
-100.9854628,22.1565651
-100.9854628,22.1565651
-73.8648268,40.8447819
-82.4012642,40.0581205
-122.3320708,47.6062095
-99.1013498,18.6813049
-99.1013498,18.6813049
-99.1013498,18.6813049
-119.7871247,36.7377981
-74.0059728,40.7127753
-97.7430608,30.267153
-93.097702,41.8780025
-76.1783739,40.0466571
-89.4012302,43.0730517
-117.1610838,32.715738
-93.7593841,41.5638902
-99.133208,19.4326077
-73.3467167,42.2024768
-103.3496092,20.6596988
-103.3496092,20.6596988
,
-84.3879824,33.7489954
-84.3879824,33.7489954
-98.2062727,19.0414398
-82.9987942,39.9611755
-86.902298,32.3182314
-122.3320708,47.6062095
-122.3320708,47.6062095
-122.3320708,47.6062095
-73.3467167,42.2024768
-102.2915677,21.8852562
-79.8711024,43.2557206
-75.1652215,39.9525839
-75.1652215,39.9525839
-117.1610966,32.7157305
-117.1610838,32.715738
-97.1330683,33.2148412
-102.552784,23.634501
-102.552784,23.634501
-102.552784,23.634501
-102.552784,23.634501
-102.552784,23.634501
-102.552784,23.634501
-98.7623874,20.0910963
-98.7623874,20.0910963
-95.712891,37.09024
-81.5322149,28.6934076
-100.9855409,22.1564699
-105.231518,38.4318312
-110.1731468,54.4643173
-86.902298,32.3182314
-118.3286614,34.0928092
-105.7820674,28.4854458
-74.0059728,40.7127753
-87.6675292,34.7448112
-97.5247243,37.6537367
-80.2481666,43.5448048
-102.552784,23.634501
-98.7623874,20.0910963
-98.7623874,20.0910963
-93.2650108,44.977753
9.501785,56.26392
-84.2645382,33.5561144
-84.2645382,33.5561144
-122.1865055,47.1770457
-122.2928974,47.1853785
-121.9915003,47.2042681
-79.9958864,40.4406248
-102.552784,23.634501
-73.087749,41.6032207
-122.5801293,47.329264
-118.2436849,34.0522342
-98.4842465,39.011902
