"lon","lat"
-85.323214,51.253775
-85.5872286,42.2917069
-95.712891,37.09024
-95.712891,37.09024
-90.1848103,32.2987573
-83.985,42.43472
-75.232664,43.100903
-73.3467167,42.2024768
-122.3320708,47.6062095
-94.8157401,39.8206606
-94.8157401,39.8206606
-7.6920536,53.1423672
-76.6121893,39.2903848
-76.6412712,39.0457549
-80.4549026,38.5976262
-80.4549026,38.5976262
-80.4549026,38.5976262
-80.4549026,38.5976262
-80.4549026,38.5976262
-80.4549026,38.5976262
-80.4549026,38.5976262
-80.4549026,38.5976262
-80.4549026,38.5976262
-95.712891,37.09024
-83.0457538,42.331427
-80.1917902,25.7616798
-73.099194,44.4454432
-122.7872599,45.4186798
,
-85.6023643,44.3148443
-95.712891,37.09024
-87.3375312,41.5568315
-93.2650108,44.977753
-78.6568942,37.4315734
-105.2551187,54.5259614
-105.2551187,54.5259614
-104.9739333,39.5480789
-94.4155068,39.0911161
-85.323214,51.253775
-73.7270761,41.2042616
-82.4571776,27.950575
-96.7969879,32.7766642
-77.1945247,41.2033216
-82.6392899,30.1896756
-87.6297982,41.8781136
-115.1398296,36.1699412
-122.4194155,37.7749295
-118.2922461,33.7360619
-95.712891,37.09024
-1.304734,50.6938479
-88.0111746,41.8089191
-80.2481666,43.5448048
-71.0588801,42.3600825
-118.3286614,34.0928092
-95.5094195,36.1512097
-120.7401385,47.7510741
-95.9145568,41.1543623
-95.3698028,29.7604267
-76.6502468,40.2859239
-100.3161126,25.6866142
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-122.6587185,45.5122308
-111.8314724,33.4151843
,
-122.2913078,37.8271784
-96.7025955,40.813616
-91.8318334,37.9642529
-106.346771,56.130366
-89.4012302,43.0730517
-122.2711137,37.8043637
-97.6844629,30.5678478
-85.1393513,41.079273
-97.3639068,32.8601275
-80.0533746,26.7153424
